rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
289,IL6R,30,0.48333,0.33746,0.06123,0.28533,0.28585,False
290,TRAF6,27,0.43333,0.34215,0.04414,0.31129,0.28543,False
291,SEMA6A,10,0.15,0.3334,0.07745,0.42093,0.28534,True
292,EDEM3,15,0.23333,0.40691,0.05722,0.33292,0.28504,True
293,ITGA4,26,0.41667,0.4685,0.01376,0.2255,0.28472,False
294,PPARD,25,0.4,0.5214,0.09496,0.14003,0.28442,False
295,HDAC1,21,0.33333,0.3562,0.11144,0.30061,0.28436,False
296,KCNMB2,16,0.25,0.3751,0.05333,0.35219,0.28396,True
297,SEC13,26,0.41667,0.61037,0.02485,0.09516,0.28389,False
298,HAPLN1,9,0.13333,0.33001,0.04448,0.44532,0.28376,True
299,MAF,25,0.4,0.43178,0.15117,0.18092,0.28309,False
300,CYP27B1,23,0.36667,0.46326,0.2406,0.11417,0.28206,False
301,NR5A2,25,0.4,0.55891,0.04473,0.12978,0.28204,False
302,CD86,27,0.43333,0.32114,0.00733,0.33718,0.28082,False
303,PTPN2,19,0.3,0.21649,0.04631,0.4613,0.28066,True
304,AURKA,25,0.4,0.58311,0.09141,0.07836,0.28064,False
305,ELMO1,25,0.4,0.544,0.02115,0.14968,0.27982,False
306,ITGB7,25,0.4,0.46754,0.02619,0.20946,0.27881,False
307,COG6,25,0.4,0.68618,0.0272,0.02117,0.2787,False
308,TARS2,25,0.4,0.67595,0.02075,0.03312,0.27853,False
309,RSL24D1,29,0.46667,0.52727,0.02667,0.12481,0.2772,False
310,ANKRD55,5,0.06667,0.2592,2e-05,0.54054,0.27695,True
311,FAM98B,5,0.06667,0.2592,0.0,0.54054,0.27695,True
312,AP2M1,29,0.46667,0.53344,0.04965,0.10455,0.27655,False
313,SLC6A4,25,0.4,0.57623,0.04883,0.09435,0.27566,False
314,IL1R1,27,0.43333,0.39359,0.01314,0.25653,0.27549,False
315,DDX39B,26,0.41667,0.61692,0.03521,0.05725,0.27465,False
316,SNRPD2,27,0.43333,0.49295,0.05755,0.14263,0.27432,False
317,COG8,25,0.4,0.67014,0.02184,0.02223,0.27319,False
318,RIOK2,26,0.41667,0.43881,0.10497,0.16497,0.27288,False
319,RUNX3,25,0.4,0.39768,0.07018,0.22706,0.27281,False
320,TNFRSF14,27,0.43333,0.36049,0.01489,0.27554,0.27256,False
321,MGAT5,12,0.18333,0.34614,0.03492,0.38277,0.2723,True
322,GDA,18,0.28333,0.36796,0.06817,0.30193,0.2722,True
323,SNRPD3,28,0.45,0.49013,0.07357,0.12241,0.2721,False
324,PDGFRA,25,0.4,0.41774,0.05766,0.21294,0.27138,False
325,GATA3,27,0.43333,0.388,0.05573,0.22524,0.27138,False
326,CDK1,29,0.46667,0.53073,0.03693,0.09905,0.27127,False
327,HDAC7,25,0.4,0.45789,0.06168,0.17531,0.27106,False
328,KCND3,25,0.4,0.36704,0.04184,0.26235,0.2703,True
329,MIF,22,0.35,0.39941,0.28202,0.11613,0.26937,False
330,SLC24A5,10,0.15,0.26218,0.0413,0.45676,0.26928,True
331,KCNH2,28,0.45,0.43813,0.13169,0.12472,0.26893,False
332,AP2S1,29,0.46667,0.52521,0.01107,0.11055,0.26847,False
333,DHX15,25,0.4,0.47682,0.09806,0.13054,0.26835,False
334,NRIP1,25,0.4,0.46103,0.0316,0.18185,0.26828,False
335,EEF2,26,0.41667,0.46141,0.04002,0.16952,0.26826,False
336,CARMIL1,8,0.11667,0.29639,0.01077,0.45538,0.26796,True
337,CDKN1A,28,0.45,0.44292,0.03376,0.1701,0.26666,False
338,THOC2,25,0.4,0.53021,0.09708,0.08,0.26648,False
339,BTF3,25,0.4,0.49467,0.01192,0.15491,0.265,False
340,PTDSS1,20,0.31667,0.48228,0.00833,0.20321,0.26497,False
341,GRIN2B,27,0.43333,0.48653,0.03853,0.13224,0.26495,False
342,TOP2A,25,0.4,0.58539,0.05751,0.04985,0.26457,False
343,IL6ST,27,0.43333,0.34568,0.01159,0.26235,0.26284,False
344,PIP5K1A,25,0.4,0.42539,0.05425,0.18235,0.26229,False
345,CD8A,24,0.38333,0.28763,0.07971,0.29204,0.26195,False
346,CCL21,28,0.45,0.41999,0.01544,0.18492,0.26131,False
347,PTGER3,25,0.4,0.43193,0.10085,0.14717,0.26126,False
348,PLRG1,25,0.4,0.50049,0.05096,0.11629,0.26104,False
349,FAM20B,4,0.05,0.21401,0.0,0.54054,0.26089,True
350,TPH2,23,0.36667,0.51545,0.06986,0.10586,0.26065,False
351,BATF,25,0.4,0.3381,0.14219,0.20062,0.26008,False
352,IL4R,28,0.45,0.29656,0.00433,0.29223,0.25961,False
353,CD5,25,0.4,0.34907,0.01225,0.26386,0.25952,False
354,TLR1,25,0.4,0.35226,0.09511,0.21219,0.25897,False
355,KCNQ1,28,0.45,0.44564,0.05831,0.13057,0.25856,False
356,AURKB,25,0.4,0.56694,0.03829,0.05878,0.25831,False
357,IL21R,29,0.46667,0.27544,0.01005,0.2943,0.25765,False
358,HELZ,6,0.08333,0.2565,0.04231,0.45465,0.25704,True
359,RYR1,25,0.4,0.46083,0.01904,0.15682,0.25694,False
360,BCL10,26,0.41667,0.37952,0.06879,0.1908,0.2569,False
361,IFNLR1,26,0.41667,0.30184,0.01752,0.2865,0.25683,False
362,GABBR2,26,0.41667,0.44885,0.04186,0.14602,0.25663,False
363,GABBR1,25,0.4,0.4351,0.10258,0.12873,0.2561,False
364,CBLB,25,0.4,0.39187,0.03938,0.20053,0.25562,False
365,FAS,25,0.4,0.36037,0.03843,0.22791,0.25556,False
366,S1PR1,20,0.31667,0.27781,0.05559,0.32075,0.25422,True
367,PPP1R15B,13,0.2,0.45821,0.04277,0.2224,0.25386,False
368,PIKFYVE,25,0.4,0.45051,0.02956,0.14887,0.25317,False
369,IL12B,22,0.35,0.20875,0.0329,0.37525,0.25304,True
370,NOS2,25,0.4,0.41783,0.08613,0.14362,0.25284,False
371,EPS15L1,25,0.4,0.47428,0.05914,0.10771,0.25181,False
372,KIF18B,25,0.4,0.57683,0.03186,0.03526,0.25176,False
373,SSPN,18,0.28333,0.60242,0.05561,0.04823,0.25123,False
374,TESPA1,17,0.26667,0.43802,0.05767,0.19357,0.25069,False
375,ELF3,9,0.13333,0.29932,0.0136,0.39461,0.25063,True
376,CDC25B,25,0.4,0.46798,0.06423,0.10675,0.2506,False
